nestbox,tag,tag2,rfid,date,band_number,ringing_age,sex
Ha222,,,989001031452642,2021-06-03T00:00:00Z,GG38570,1,
Ha222,,,989001031452380,2021-06-03T00:00:00Z,GG38571,1,
Ha222,,,989001031452637,2021-06-03T00:00:00Z,GG38572,1,
Ha222,,,989001031452644,2021-06-03T00:00:00Z,GG38573,1,
Ha222,,,989001031452510,2021-06-03T00:00:00Z,GG38574,1,
Ha222,,,989001031452641,2021-06-03T00:00:00Z,GG38575,1,
Ha222,,,989001031452450,2021-06-03T00:00:00Z,GG38576,1,
Ha148,,,989001031452649,2021-06-06T00:00:00Z,GG38577,1,
Ha148,,,989001031452650,2021-06-06T00:00:00Z,GG38578,1,
Ha148,,,989001031452477,2021-06-06T00:00:00Z,GG38579,1,
Ha148,,,989001031452549,2021-06-06T00:00:00Z,GG38580,1,
Ha148,,,989001031452603,2021-06-06T00:00:00Z,GG38581,1,
Ha148,,,989001031452218,2021-06-06T00:00:00Z,GG38582,1,
Ha148,,,989001031452276,2021-06-06T00:00:00Z,GG38583,1,
Ha154,,,989001031452220,2021-06-06T00:00:00Z,GG38584,1,
Ha154,,,989001026344819,2021-06-06T00:00:00Z,GG38585,1,
Ha154,,,989001031452449,2021-06-06T00:00:00Z,GG38586,1,
Ha154,,,989001031452639,2021-06-06T00:00:00Z,GG38587,1,
Ha154,,,989001031452665,2021-06-06T00:00:00Z,GG38588,1,
Ha154,,,989001031452685,2021-06-06T00:00:00Z,GG38589,1,
Ha154,,,989001031452586,2021-06-06T00:00:00Z,GG38590,1,
Ha223,,,989001031452653,2021-06-06T00:00:00Z,GG38591,1,
Ha223,,,989001031452327,2021-06-06T00:00:00Z,GG38592,1,
Ha223,,,989001031452262,2021-06-06T00:00:00Z,GG38593,1,
Ha223,,,989001031452636,2021-06-06T00:00:00Z,GG38594,1,
Ha223,,,989001031452602,2021-06-06T00:00:00Z,GG38595,1,
Ha223,,,989001031452545,2021-06-06T00:00:00Z,GG38596,1,
Ha254,,,989001031452557,2021-06-06T00:00:00Z,GG38597,1,
Ha254,,,989001031452693,2021-06-06T00:00:00Z,GG38598,1,
Ha254,,,989001031452697,2021-06-06T00:00:00Z,GG38599,1,
Ha254,,,989001031452669,2021-06-06T00:00:00Z,GG38600,1,
Ha254,,,989001031452579,2021-06-06T00:00:00Z,GG38601,1,
Ha286,,,989001031452604,2021-06-08T00:00:00Z,GG38602,1,
Ha286,,,989001031452625,2021-06-08T00:00:00Z,GG38603,1,
Ha286,,,989001031452593,2021-06-08T00:00:00Z,GG38604,1,
Ha286,,,989001031452498,2021-06-08T00:00:00Z,GG38605,1,
Ha214,,,989001031452454,2021-06-08T00:00:00Z,GG38606,1,
Ha214,,,989001031452618,2021-06-08T00:00:00Z,GG38607,1,
Ha214,,,989001031452628,2021-06-08T00:00:00Z,GG38608,1,
Ha214,,,989001031452460,2021-06-08T00:00:00Z,GG38609,1,
Ha214,,,989001031452614,2021-06-08T00:00:00Z,GG38610,1,
Ha214,,,989001031452267,2021-06-08T00:00:00Z,GG38611,1,
Ha218,,,989001031452622,2021-06-08T00:00:00Z,GG38612,1,
Ha218,,,989001026344837,2021-06-08T00:00:00Z,GG38613,1,
Ha218,,,989001031452532,2021-06-08T00:00:00Z,GG38614,1,
Ha218,,,989001031452568,2021-06-08T00:00:00Z,GG38615,1,
Ha218,,,989001026344810,2021-06-08T00:00:00Z,GG38616,1,
Ha218,,,989001026344492,2021-06-08T00:00:00Z,GG38617,1,
Ha218,,,989001031452468,2021-06-08T00:00:00Z,GG38618,1,
Ha220,,,989001031452677,2021-06-08T00:00:00Z,GG38619,1,
Ha220,,,989001026344802,2021-06-08T00:00:00Z,GG38620,1,
Ha220,,,989001026344799,2021-06-08T00:00:00Z,GG38621,1,
Ha220,,,989001026344769,2021-06-08T00:00:00Z,GG38622,1,
Ha220,,,989001026344483,2021-06-08T00:00:00Z,GG38623,1,
Ha220,,,989001026344745,2021-06-08T00:00:00Z,GG38624,1,
Ha220,,,989001026344455,2021-06-08T00:00:00Z,GG38625,1,
Ha166,,,989001026344776,2021-06-08T00:00:00Z,GG38626,1,
Ha166,,,989001026344459,2021-06-08T00:00:00Z,GG38627,1,
Ha166,,,989001026344821,2021-06-08T00:00:00Z,GG38628,1,M
Ha166,,,989001031452680,2021-06-08T00:00:00Z,GG38629,1,
Ha166,,,989001031452688,2021-06-08T00:00:00Z,GG38630,1,
Ha166,,,989001026344813,2021-06-08T00:00:00Z,GG38631,1,
Ha166,,,989001026344443,2021-06-08T00:00:00Z,GG38632,1,
Ha136,,,989001031452645,2021-06-09T00:00:00Z,GG38633,1,
